Date,Temp,Rain,NO3,PH
1/4/2009,29.50,4.10,1.04,7.10
1/5/2009,31.90,0.00,1.31,7.00
1/6/2009,28.70,0.00,1.00,7.20
1/7/2009,27.10,0.00,0.80,7.00
1/8/2009,28.50,0.00,0.93,7.00
1/9/2009,29.80,15.40,0.20,7.10
1/10/2009,28.10,13.50,0.30,7.20
1/11/2009,31.70,38.10,1.10,7.20
1/12/2009,28.70,45.10,0.20,7.60
1/1/2010,27.40,0.00,0.60,6.90
1/2/2010,26.30,0.00,1.90,7.00
1/3/2010,30.40,1.50,1.70,7.40
1/4/2010,29.50,22.40,1.00,7.20
1/5/2010,31.90,0.00,1.20,7.10
1/6/2010,28.60,3.10,1.10,7.30
1/7/2010,26.90,0.00,0.70,7.30
1/8/2010,28.50,0.00,1.00,7.20
1/9/2010,29.80,0.00,0.30,6.80
1/10/2010,27.50,0.00,0.40,6.90
1/11/2010,31.70,55.50,1.00,7.20
1/12/2010,28.70,33.90,0.30,7.60
1/1/2011,27.40,0.00,0.50,7.00
1/2/2011,26.30,28.50,1.80,7.20
1/3/2011,30.40,34.40,1.80,7.50
1/4/2011,29.50,0.00,1.00,7.40
1/5/2011,31.90,0.00,1.10,7.10
1/6/2011,28.80,0.00,0.80,7.30
1/7/2011,27.10,0.00,1.10,7.40
1/8/2011,28.50,0.00,1.20,7.20
1/9/2011,29.80,0.00,0.30,7.00
1/10/2011,28.10,0.00,0.50,7.20
1/11/2011,31.70,0.00,1.10,7.10
1/12/2011,28.70,3.80,0.40,7.70
1/1/2012,27.40,0.00,0.60,7.20
1/2/2012,26.30,0.00,1.90,7.40
1/3/2012,30.40,2.20,1.80,7.60
1/4/2012,29.50,35.60,0.90,7.40
1/5/2012,31.90,0.00,1.20,7.10
1/6/2012,28.70,9.50,0.90,7.30
1/7/2012,26.90,0.00,1.20,7.50
1/8/2012,28.50,0.00,1.30,7.20
1/9/2012,29.80,0.00,0.40,6.90
1/10/2012,27.80,0.00,0.60,7.00
1/11/2012,31.70,65.50,1.00,7.10
1/12/2012,28.70,43.80,0.30,7.70
1/1/2013,27.40,0.00,0.50,7.20
1/2/2013,26.30,28.50,2.00,7.40
1/3/2013,30.40,36.80,1.70,7.70
1/4/2013,29.50,0.00,0.80,7.50
1/5/2013,31.90,25.60,1.10,7.10
1/6/2013,29.10,0.00,1.00,7.40
1/7/2013,27.50,0.00,1.10,7.70
1/8/2013,28.50,0.00,1.20,7.70
1/9/2013,29.80,0.00,0.50,7.10
1/10/2013,27.60,0.00,0.70,6.90
1/11/2013,31.70,0.00,1.10,7.20
1/12/2013,28.70,40.50,0.40,7.70
1/1/2014,27.40,0.00,0.60,7.20
1/2/2014,26.30,0.00,1.90,7.30
1/3/2014,30.40,0.00,1.50,7.70
1/4/2014,29.50,14.50,0.90,7.50
1/5/2014,31.90,0.00,1.00,7.10
1/6/2014,26.50,2.50,0.90,7.50
1/7/2014,24.90,5.60,1.00,7.80
1/8/2014,28.50,0.00,1.30,7.70
1/9/2014,29.80,0.00,0.30,7.10
1/10/2014,27.80,0.00,0.60,7.00
1/11/2014,31.70,0.00,1.20,7.30
1/12/2014,28.70,0.00,0.50,7.80
1/1/2015,27.80,,0.80,7.20
1/2/2015,28.10,,0.50,7.70
1/3/2015,30.30,,0.70,7.80
1/4/2015,27.50,,0.50,7.50
1/5/2015,30.00,,0.60,7.10
1/6/2015,27.80,,0.90,7.50
1/7/2015,28.90,,0.80,7.90
1/8/2015,30.80,,0.60,7.80
1/9/2015,30.30,,0.50,7.10
1/10/2015,27.80,,0.60,7.20
1/11/2015,29.90,,0.80,7.30
1/12/2015,27.50,,0.70,7.90
1/1/2016,28.90,,0.70,8.20
1/2/2016,29.30,,0.60,7.00
1/3/2016,29.50,,0.70,8.40
1/4/2016,28.00,,0.70,8.10
1/5/2016,33.10,,0.70,8.50
1/6/2016,30.00,,0.60,8.50
1/7/2016,28.90,,0.60,8.40
1/8/2016,27.00,,0.80,8.20
1/9/2016,29.20,,1.00,8.40
1/10/2016,29.00,,1.00,8.20
1/11/2016,28.80,,1.10,7.70
1/12/2016,28.00,,2.40,7.30
1/1/2017,,,,
1/2/2017,30.40,,1.70,8.90
1/3/2017,,,,
1/4/2017,32.50,,2.50,8.10
1/5/2017,,,,
1/6/2017,29.20,,3.90,8.40
1/7/2017,,,,
1/8/2017,28.50,,2.90,7.90
1/9/2017,,,,
1/10/2017,29.90,,2.60,8.40
1/11/2017,,,,
1/12/2017,30.60,,2.50,7.90
1/1/2018,,,,
1/2/2018,28.40,,2.30,7.60
1/3/2018,,,,
1/4/2018,34.40,,2.70,8.60
1/5/2018,,,,
1/6/2018,30.60,,2.30,8.50
1/7/2018,28.80,,1.50,8.50
1/8/2018,,,,
1/9/2018,26.00,,2.00,8.40
1/10/2018,,,,
1/11/2018,29.50,,1.50,8.50
1/12/2018,,,,
1/1/2019,28.70,,1.90,8.60
1/2/2019,,,,
1/3/2019,26.00,,1.50,8.60
1/4/2019,,,,
1/5/2019,26.30,,1.40,8.50

